Banas Kantha,469,13447.0
Kachchh,468,53668.0
Jamnagar,477,13686.0
Porbandar,478,2780.0
Rajkot,476,14104.0
Junagadh,479,9585.0
Amreli,480,9891.0
Surendranagar,475,13301.0
Bhavnagar,481,10521.0
Ahmadabad,474,10102.0
Patan,470,7207.0
Mahesana,471,5563.0
Gandhinagar,473,2705.0
Sabar Kantha,472,9122.0
Dungarpur,124,4798.0
Kheda,483,5041.0
Panch Mahals,484,6519.0
Vadodara,486,9261.0
Anand,482,3679.0
Bharuch,488,6585.0
Narmada,487,3143.0
Nandurbar,497,7332.0
Alirajpur,465,4137.0
Jhabua,464,4351.0
Dohad,485,4471.0
Banswara,125,5710.0
Ratlam,434,6139.0
Dhar,438,10273.0
Barwani,441,6824.0
West Nimar,440,9958.0
Indore,439,4712.0
East Nimar,466,9271.0
Dewas,437,8484.0
Ujjain,435,7745.0
Sehore,445,8091.0
Shajapur,436,8022.0
Rajgarh,442,7774.0
Mandsaur,433,7216.0
Pratapgarh,131,5497.0
Jhalawar,129,8009.0
Kota,127,7023.0
Baran,128,8768.0
Chittaurgarh,126,9791.0
Neemuch,432,5313.0
Rajsamand,123,6165.0
Bhilwara,122,13516.0
Ajmer,119,11078.0
Jaipur,110,14524.0
Tonk,120,9425.0
Dausa,109,4547.0
Sawai Madhopur,108,6524.0
Bundi,121,7204.0
Sheopur,418,8479.0
Shivpuri,423,13509.0
Guna,458,7994.0
Gwalior,421,6753.0
Morena,419,6488.0
Dhaulpur,106,3950.0
Karauli,107,6440.0
Bharatpur,105,6633.0
Mathura,145,4410.0
Mahamaya Nagar,144,2319.0
Agra,146,5222.0
Bhind,420,5810.0
Firozabad,147,3133.0
Etah,201,3302.0
Kansiram Nagar,202,2582.0
Shahjahanpur,152,6123.0
Farrukhabad,159,2846.0
Mainpuri,148,3540.0
Etawah,161,3036.0
Kannauj,160,2709.0
Auraiya,162,2619.0
Jalaun,165,5937.0
Datia,422,2442.0
Tikamgarh,424,6505.0
Jhansi,166,6547.0
Lalitpur,167,6476.0
Hamirpur,168,5510.0
Mahoba,169,3706.0
Chhatarpur,425,11138.0
Sagar,427,12967.0
Damoh,428,9374.0
Raisen,446,10476.0
Vidisha,443,9297.0
Ashoknagar,459,6061.0
Bhopal,444,3398.0
Harda,448,4161.0
Hoshangabad,449,8281.0
Betul,447,12436.0
Chhindwara,455,14531.0
Narsimhapur,452,6385.0
Jabalpur,451,6328.0
Seoni,456,10937.0
Mandla,454,9465.0
Balaghat,457,11537.0
Dindori,453,7222.0
Katni,450,6440.0
Umaria,431,5812.0
Panna,426,9041.0
Satna,429,9564.0
Banda,170,5854.0
Chitrakoot,171,3971.0
Shahdol,460,7240.0
Sidhi,462,6083.0
Rewa,430,8076.0
Kaushambi,174,2607.0
Allahabad,175,6695.0
Sant Ravi Das Nagar(bhadohi),198,1302.0
Mirzapur,199,5808.0
Singrauli,463,7359.0
Koriya,400,8324.0
Anuppur,461,4745.0
Kabeerdham,407,5316.0
Bilaspur,406,10482.0
Korba,404,8211.0
Surguja,401,19967.0
Sonbhadra,200,8558.0
Garhwa,346,5244.0
Jashpur,402,7349.0
Raigarh,403,8814.0
Gumla,366,6795.0
Simdega,367,4781.0
Sundargarh,374,11973.0
Ranchi,364,6180.0
Lohardaga,356,1884.0
Latehar,359,5424.0
Chatra,347,4789.0
Palamu,358,5652.0
Rohtas,234,4953.0
Kaimur (bhabua),233,4309.0
Aurangabad,235,4213.0
Gaya,236,6365.0
Bhojpur,231,3065.0
Arwal,240,858.0
Jehanabad,239,1200.0
Patna,230,4075.0
Buxar,232,2207.0
Ghazipur,195,4376.0
Chandauli,196,3263.0
Varanasi,197,2000.0
Jaunpur,194,5222.0
Pratapgarh,173,4788.0
Azamgarh,191,5540.0
