Mon,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,12.0,26.0,27.0,0.0,0.0,0.0,2318.0,0.0,0.0,0.0,7.0,12.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tirap,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,5.0,9.0,0.0,0.0,0.0,2636.0,0.0,0.0,0.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sivasagar,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,4.0,1.0,0.0,4.0,6.0,10.0,8.0,47.0,47.0,25.0,12.0,0.0,0.0,0.0,986.0,0.0,0.0,0.0,258.0,702.0,345.0,239.0,138.0,93.0,76.0,51.0,40.0,39.0,21.0,22.0,18.0,23.0,15.0,7.0,12.0,11.0,11.0,4.0,1.0,9.0,7.0,11.0,5.0,5.0,5.0,2.0,7.0,6.0,3.0,8.0,3.0,5.0,4.0,4.0,3.0,7.0,6.0,4.0,4.0,3.0,1.0,1.0,5.0,6.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0,0,0,0
Changlang,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,38.0,16.0,0.0,0.0,0.0,6323.0,0.0,0.0,0.0,21.0,78.0,33.0,14.0,12.0,8.0,9.0,7.0,4.0,3.0,2.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lohit,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,10.0,30.0,11.0,0.0,0.0,0.0,4975.0,0.0,0.0,0.0,11.0,35.0,24.0,13.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anjaw,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8609.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,309,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,6.0,4.0,2.0,3.0,5.0,2.0,7.0,13.0,12.0,16.0,21.0,18.0,28.0,38.0,48.0,78.0,161.0,77.0,0.0,0.0,0.0,3040.0,0.0,0.0,0.0,73.0,316.0,230.0,126.0,107.0,90.0,51.0,58.0,51.0,48.0,30.0,26.0,16.0,18.0,9.0,7.0,5.0,8.0,7.0,6.0,6.0,9.0,10.0,5.0,4.0,4.0,6.0,4.0,2.0,4.0,8.0,4.0,3.0,0.0,6.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,2.0,0.0,1.0,0,0,0,0,0,0
Dhemaji,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3397.0,0.0,0.0,0.0,5.0,12.0,9.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dibrugarh,310,0,3.0,5.0,3.0,4.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,4.0,0.0,3.0,4.0,3.0,1.0,3.0,7.0,3.0,5.0,6.0,3.0,8.0,5.0,6.0,10.0,13.0,12.0,10.0,4.0,17.0,18.0,64.0,25.0,0.0,0.0,0.0,1902.0,0.0,0.0,0.0,112.0,346.0,257.0,179.0,159.0,117.0,85.0,73.0,58.0,64.0,56.0,44.0,44.0,48.0,39.0,39.0,32.0,23.0,27.0,22.0,25.0,21.0,21.0,16.0,20.0,11.0,19.0,18.0,13.0,23.0,15.0,12.0,13.0,15.0,12.0,8.0,9.0,6.0,9.0,11.0,9.0,7.0,7.0,6.0,9.0,9.0,8.0,11.0,6.0,4.0,9.0,4.0,7.0,8.0,5.0,11.0,10.0,10.0,14.0,0,0
East Siang,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1.0,0.0,0.0,0.0,4929.0,0.0,0.0,0.0,2.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
