Kheda,483,1.0
Panch Mahals,484,1.0
Vadodara,486,1.0
Anand,482,1.0
Bharuch,488,1.0
Narmada,487,1.0
Nandurbar,497,1.0
Alirajpur,465,1.0
Jhabua,464,1.0
Dohad,485,1.0
Banswara,125,1.0
Ratlam,434,1.0
Dhar,438,1.0
Barwani,441,1.0
West Nimar,440,1.0
Indore,439,1.0
East Nimar,466,1.0
Dewas,437,1.0
Ujjain,435,1.0
Sehore,445,1.0
Shajapur,436,1.0
Rajgarh,442,1.0
Mandsaur,433,1.0
Pratapgarh,131,1.0
Jhalawar,129,1.0
Kota,127,1.0
Baran,128,1.0
Chittaurgarh,126,1.0
Neemuch,432,1.0
Rajsamand,123,1.0
Bhilwara,122,1.0
Ajmer,119,1.0
Jaipur,110,1.0
Tonk,120,1.0
Dausa,109,1.0
Sawai Madhopur,108,1.0
Bundi,121,1.0
Sheopur,418,1.0
Shivpuri,423,1.0
Guna,458,1.0
Gwalior,421,1.0
Morena,419,1.0
Dhaulpur,106,1.0
Karauli,107,1.0
Bharatpur,105,1.0
Mathura,145,1.0
Mahamaya Nagar,144,1.0
Agra,146,1.0
Bhind,420,1.0
Firozabad,147,1.0
Etah,201,1.0
Kansiram Nagar,202,1.0
Shahjahanpur,152,1.0
Farrukhabad,159,1.0
Mainpuri,148,1.0
Etawah,161,1.0
Kannauj,160,1.0
Auraiya,162,1.0
Jalaun,165,1.0
Datia,422,1.0
Tikamgarh,424,1.0
Jhansi,166,1.0
Lalitpur,167,1.0
Hamirpur,168,1.0
Mahoba,169,1.0
Chhatarpur,425,1.0
Sagar,427,1.0
Damoh,428,1.0
Raisen,446,1.0
Vidisha,443,1.0
Ashoknagar,459,1.0
Bhopal,444,1.0
Harda,448,1.0
Hoshangabad,449,1.0
Betul,447,1.0
Chhindwara,455,1.0
Narsimhapur,452,1.0
Jabalpur,451,1.0
Seoni,456,1.0
Mandla,454,1.0
Balaghat,457,1.0
Dindori,453,1.0
Katni,450,1.0
Umaria,431,1.0
Panna,426,1.0
Satna,429,1.0
Banda,170,1.0
Chitrakoot,171,1.0
Shahdol,460,1.0
Sidhi,462,1.0
Rewa,430,1.0
Kaushambi,174,1.0
Allahabad,175,1.0
Sant Ravi Das Nagar(bhadohi),198,1.0
Mirzapur,199,1.0
Singrauli,463,1.0
Koriya,400,1.0
Anuppur,461,1.0
Kabeerdham,407,1.0
Bilaspur,406,1.0
Korba,404,1.0
Surguja,401,1.0
Sonbhadra,200,1.0
Garhwa,346,1.0
Jashpur,402,1.0
Raigarh,403,1.0
Gumla,366,1.0
Simdega,367,1.0
Sundargarh,374,1.0
Ranchi,364,1.0
Lohardaga,356,1.0
Latehar,359,1.0
Chatra,347,1.0
Palamu,358,1.0
Rohtas,234,1.0
Kaimur (bhabua),233,1.0
Aurangabad,235,1.0
Gaya,236,1.0
Bhojpur,231,1.0
Arwal,240,1.0
Jehanabad,239,1.0
Patna,230,1.0
Buxar,232,1.0
Ghazipur,195,1.0
Chandauli,196,1.0
Varanasi,197,1.0
Jaunpur,194,1.0
Pratapgarh,173,1.0
Azamgarh,191,1.0
Ambedkar Nagar,178,1.0
Sultanpur,179,1.0
Faizabad,177,1.0
Basti,185,1.0
Gonda,183,1.0
Sant Kabir Nagar,186,1.0
Gorakhpur,188,1.0
Maharajganj,187,1.0
Kushinagar,189,1.0
Deoria,190,1.0
Mau,192,1.0
Ballia,193,1.0
Siwan,218,1.0
Saran (chhapra),219,1.0
Muzaffarpur,216,1.0
Gopalganj,217,1.0
Purba Champaran,204,1.0
Pashchim Champaran,203,1.0
Siddharth Nagar,184,1.0
Balrampur,182,1.0
Shrawasti,181,1.0
Bahraich,180,1.0
Kheri,153,1.0
Sitapur,154,1.0
Bara Banki,176,1.0
Lucknow,157,1.0
Hardoi,155,1.0
Rae Bareli,158,1.0
Fatehpur,172,1.0
Unnao,156,1.0
Kanpur Nagar,164,1.0
Kanpur Dehat,163,1.0
Pilibhit,151,1.0
Bageshwar,63,1.0
Champawat,65,1.0
Pithoragarh,62,1.0
North,241,1.0
East,244,1.0
Jalpaiguri,328,1.0
Koch Bihar,329,1.0
Darjiling,327,1.0
South,243,1.0
West,242,1.0
Kishanganj,210,1.0
Uttar Dinajpur,330,1.0
Purnia,211,1.0
Katihar,212,1.0
Araria,209,1.0
Madhubani,207,1.0
Sitamarhi,206,1.0
Darbhanga,215,1.0
Sheohar,205,1.0
Vaishali,220,1.0
Samastipur,221,1.0
Begusarai,222,1.0
Khagaria,223,1.0
Saharsa,214,1.0
Supaul,208,1.0
Madhepura,213,1.0
Bhagalpur,224,1.0
Sahibganj,352,1.0
Godda,351,1.0
Banka,225,1.0
Pakur,353,1.0
Dumka,362,1.0
Jamtara,363,1.0
Deoghar,350,1.0
Jamui,238,1.0
Giridih,349,1.0
Munger,226,1.0
Lakhisarai,227,1.0
Sheikhpura,228,1.0
Nawada,237,1.0
Nalanda,229,1.0
Kodarma,348,1.0
Hazaribagh,360,1.0
Dhanbad,354,1.0
Bokaro,355,1.0
Puruliya,340,1.0
Ramgarh,361,1.0
Khunti,365,1.0
Pashchimi Singhbhum,368,1.0
Saraikela-kharsawan,369,1.0
Purbi Singhbhum,357,1.0
Pashchim Medinipur,344,1.0
Bankura,339,1.0
Barddhaman,335,1.0
Birbhum,334,1.0
Hugli,338,1.0
Haora,341,1.0
North 24 Parganas,337,1.0
Nadia,336,1.0
Kolkata,342,1.0
South 24 Parganas,343,1.0
Murshidabad,333,1.0
Maldah,332,1.0
Dakshin Dinajpur,331,1.0
Purba Medinipur,345,1.0
Ganjam,388,1.0
Puri,387,1.0
Khordha,386,1.0
Nayagarh,385,1.0
Cuttack,381,1.0
Dhenkanal,383,1.0
Anugul,384,1.0
Jajapur,382,1.0
Kendujhar,375,1.0
Kendrapara,379,1.0
Jagatsinghapur,380,1.0
Baleshwar,377,1.0
Bhadrak,378,1.0
Mayurbhanj,376,1.0
Debagarh,373,1.0
Sambalpur,372,1.0
Jharsuguda,371,1.0
Bargarh,370,1.0
Subarnapur,392,1.0
Balangir,393,1.0
Bauda,391,1.0
Kandhamal,390,1.0
Gajapati,389,1.0
Rayagada,396,1.0
Kalahandi,395,1.0
Nuapada,394,1.0
Raipur,410,1.0
Nabarangapur,397,1.0
Mahasamund,411,1.0
Janjgir-champa,405,1.0
Durg,409,1.0
Dhamtari,412,1.0
Rajnandgaon,408,1.0
Gondiya,507,1.0
Nagpur,505,1.0
Bhandara,506,1.0
Garhchiroli,508,1.0
Uttar Bastar Kanker,413,1.0
Chandrapur,509,1.0
Adilabad,532,1.0
Narayanpur,415,1.0
Bijapur,417,1.0
Bastar,414,1.0
Koraput,398,1.0
Dakshin Bastar Dantewada,416,1.0
Malkangiri,399,1.0
Visakhapatnam,544,1.0
East Godavari,545,1.0
Khammam,541,1.0
Warangal,540,1.0
Karimnagar,534,1.0
Krishna,547,1.0
Nalgonda,539,1.0
Guntur,548,1.0
Prakasam,549,1.0
West Godavari,546,1.0
Yanam,634,1.0
Vizianagaram,543,1.0
Srikakulam,542,1.0
Sri Potti Sriramulu Nellore,550,1.0
Y.s.r.,551,1.0
Chittoor,554,1.0
Thiruvallur,602,1.0
Kancheepuram,604,1.0
Chennai,603,1.0
Vellore,605,1.0
Tiruvannamalai,606,1.0
Viluppuram,607,1.0
Puducherry,635,1.0
Cuddalore,617,1.0
Nagappattinam,618,1.0
Ariyalur,616,1.0
Thanjavur,620,1.0
Karaikal,637,1.0
Thiruvarur,619,1.0
Virudunagar,625,1.0
Pudukkottai,621,1.0
Ramanathapuram,626,1.0
Sivaganga,622,1.0
Tiruchirappalli,614,1.0
Madurai,623,1.0
Dindigul,612,1.0
Thoothukkudi,627,1.0
Tirunelveli,628,1.0
Kollam,600,1.0
Thiruvananthapuram,601,1.0
Kanniyakumari,629,1.0
Alappuzha,598,1.0
Pathanamthitta,599,1.0
Kottayam,597,1.0
Idukki,596,1.0
Theni,624,1.0
Tiruppur,633,1.0
Coimbatore,632,1.0
Palakkad,593,1.0
Thrissur,594,1.0
Ernakulam,595,1.0
Lakshadweep,587,1.0
Dakshina Kannada,575,1.0
Udupi,569,1.0
Kasaragod,588,1.0
Kannur,589,1.0
Mahe,636,1.0
Kozhikode,591,1.0
Kodagu,576,1.0
Chikmagalur,570,1.0
Hassan,574,1.0
Mysore,577,1.0
Tumkur,571,1.0
Mandya,573,1.0
Wayanad,590,1.0
Chamrajnagar,578,1.0
The Nilgiris,611,1.0
Malappuram,592,1.0
Erode,610,1.0
Namakkal,609,1.0
Salem,608,1.0
Karur,613,1.0
Perambalur,615,1.0
Dharmapuri,630,1.0
Krishnagiri,631,1.0
Kolar,581,1.0
Bangalore Rural,583,1.0
Chikkaballapura,582,1.0
Bangalore,572,1.0
Ramanagara,584,1.0
Anantapur,553,1.0
Chitradurga,566,1.0
Davanagere,567,1.0
Bellary,565,1.0
Kurnool,552,1.0
Mahbubnagar,538,1.0
Raichur,559,1.0
Koppal,560,1.0
Bagalkot,556,1.0
Gadag,561,1.0
Belgaum,555,1.0
Dharwad,562,1.0
Haveri,564,1.0
Uttara Kannada,563,1.0
Shimoga,568,1.0
South Goa,586,1.0
North Goa,585,1.0
Kolhapur,530,1.0
Sindhudurg,529,1.0
Ratnagiri,528,1.0
Sangli,531,1.0
Solapur,526,1.0
Satara,527,1.0
Pune,521,1.0
Raigarh,520,1.0
Ahmadnagar,522,1.0
Bid,523,1.0
Osmanabad,525,1.0
Parbhani,513,1.0
Latur,524,1.0
Gulbarga,579,1.0
Bijapur,557,1.0
Yadgir,580,1.0
Bidar,558,1.0
Rangareddy,537,1.0
Medak,535,1.0
Hyderabad,536,1.0
Nizamabad,533,1.0
Nanded,511,1.0
Hingoli,512,1.0
Jalna,514,1.0
Buldana,500,1.0
Washim,502,1.0
Akola,501,1.0
Yavatmal,510,1.0
Amravati,503,1.0
Wardha,504,1.0
Burhanpur,467,1.0
Jalgaon,499,1.0
Dhule,498,1.0
Aurangabad,515,1.0
Nashik,516,1.0
Thane,517,1.0
The Dangs,489,1.0
Valsad,491,1.0
Navsari,490,1.0
Tapi,493,1.0
Surat,492,1.0
Dadra & Nagar Haveli,496,1.0
Daman,495,1.0
Diu,494,1.0
Mumbai Suburban,518,1.0
Mumbai,519,1.0
