Baramula,8,2340.0,55.0,10.0,9.0,7.0,0,0,0
Bandipore,9,3242.0,0,0,0,0,0,0,0
Ganderbal,11,1508.0,0,0,0,0,0,0,0
Srinagar,10,1275.0,110.0,30.0,22.0,19.0,0,0,0
Badgam,2,1640.0,115.0,33.0,4.0,0,0,0,0
Pulwama,12,841.0,7.0,0,0,0,0,0,0
Shupiyan,13,757.0,0,0,0,0,0,0,0
Rajouri,6,2567.0,48.0,6.0,0,0,0,0,0
Kulgam,15,1854.0,0,0,0,0,0,0,0
Anantnag,14,4370.0,14.0,0,0,0,0,0,0
Kargil,4,20916.0,0,0,0,0,0,0,0
Kishtwar,18,11925.0,54.0,20.0,9.0,0,0,0,0
Lahul & Spiti,25,19110.0,0,0,0,0,0,0,0
Chamba,23,8564.0,43.0,8.0,0,0,0,0,0
Kangra,24,5737.0,290.0,36.0,8.0,3.0,0.0,0,0
Kullu,26,7179.0,124.0,18.0,0,0,0,0,0
Kinnaur,34,8728.0,18.0,0,0,0,0,0,0
Mandi,27,4797.0,202.0,34.0,6.0,0,0,0,0
Hamirpur,28,704.0,88.0,2.0,0,0,0,0,0
Solan,31,1071.0,296.0,66.0,17.0,9.0,9.0,1.0,0
Bilaspur,30,771.0,174.0,25.0,9.0,0,0,0,0
Una,29,1172.0,301.0,42.0,21.0,5.0,0.0,0,0
Rupnagar,51,696.0,891.0,95.0,46.0,33.0,18.0,9.0,0
Shahid Bhagat Singh Nagar,39,564.0,1059.0,76.0,19.0,11.0,3.0,0.0,0
Shimla,33,6258.0,98.0,11.0,2.0,1.0,0.0,1.0,0
Sirmaur,32,3081.0,131.0,24.0,7.0,0,0,0,0
Uttarkashi,56,10823.0,7.0,0,0,0,0,0,0
Chamoli,57,10398.0,24.0,0,0,0,0,0,0
Tehri Garhwal,59,4532.0,140.0,33.0,12.0,10.0,11.0,0,0
Rudraprayag,58,2431.0,0,0,0,0,0,0,0
Dehradun,60,2815.0,364.0,97.0,46.0,32.0,20.0,13.0,11.0
Garhwal,61,6485.0,104.0,23.0,13.0,6.0,1.0,0.0,0
Saharanpur,132,4481.0,345.0,49.0,28.0,21.0,15.0,10.0,6.0
Hardwar,68,2750.0,200.0,62.0,38.0,23.0,25.0,21.0,6.0
Muzaffarnagar,133,4779.0,416.0,91.0,42.0,29.0,13.0,10.0,5.0
Bijnor,134,5305.0,328.0,53.0,21.0,2.0,0,0,0
Almora,64,3623.0,33.0,11.0,4.0,0,0,0,0
Nainital,66,4643.0,246.0,52.0,17.0,8.0,8.0,2.0,0
Udham Singh Nagar,67,1862.0,1243.0,190.0,80.0,26.0,16.0,16.0,1.0
Rampur,136,3179.0,134.0,29.0,15.0,17.0,8.0,11.0,2.0
Moradabad,135,4133.0,413.0,121.0,41.0,35.0,18.0,18.0,17.0
Bareilly,150,4456.0,304.0,82.0,40.0,23.0,17.0,17.0,22.0
Budaun,149,6525.0,107.0,30.0,24.0,17.0,10.0,0,0
Jyotiba Phule Nagar,137,2803.0,112.0,29.0,19.0,5.0,0,0,0
Bulandshahr,142,4176.0,318.0,68.0,40.0,29.0,14.0,10.0,1.0
Ghaziabad,140,1363.0,671.0,193.0,100.0,54.0,56.0,40.0,63.0
Meerut,138,2537.0,531.0,117.0,57.0,45.0,30.0,29.0,40.0
Baghpat,139,1557.0,151.0,29.0,16.0,7.0,1.0,0,0
Sonipat,76,1212.0,1055.0,309.0,161.0,62.0,34.0,26.0,12.0
North West,90,0.0,9.0,41.0,86.0,72.0,91.0,76.0,128.0
Gautam Buddha Nagar,141,961.0,353.0,156.0,82.0,53.0,58.0,56.0,89.0
Aligarh,143,4537.0,214.0,55.0,32.0,18.0,17.0,14.0,32.0
Faridabad,88,122.0,460.0,170.0,85.0,52.0,38.0,44.0,141.0
Palwal,89,825.0,797.0,58.0,23.0,23.0,10.0,10.0,5.0
Mewat,87,1392.0,447.0,65.0,16.0,6.0,1.0,2.0,0.0
Gurgaon,86,118.0,813.0,290.0,117.0,71.0,54.0,35.0,85.0
South,98,0.0,2.0,21.0,22.0,18.0,16.0,29.0,153.0
New Delhi,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
South West,97,0.0,12.0,62.0,68.0,46.0,29.0,51.0,197.0
Central,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
East,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
North East,92,0.0,1.0,5.0,4.0,3.0,1.0,1.0,36.0
North,91,0.0,0.0,1.0,2.0,4.0,4.0,7.0,52.0
