Tinsukia,309,3040.0,0.0,0.0,0.0,73.0,316.0,230.0,126.0,107.0,90.0,51.0,58.0,51.0,48.0,30.0,26.0,16.0,18.0,9.0,7.0,5.0,8.0,7.0,6.0,6.0,9.0,10.0,5.0,4.0,4.0,6.0,4.0,2.0,4.0,8.0,4.0,3.0,0.0,6.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,2.0,0.0,1.0,0,0,0,0,0
Dhemaji,308,3397.0,0.0,0.0,0.0,5.0,12.0,9.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dibrugarh,310,1902.0,0.0,0.0,0.0,112.0,346.0,257.0,179.0,159.0,117.0,85.0,73.0,58.0,64.0,56.0,44.0,44.0,48.0,39.0,39.0,32.0,23.0,27.0,22.0,25.0,21.0,21.0,16.0,20.0,11.0,19.0,18.0,13.0,23.0,15.0,12.0,13.0,15.0,12.0,8.0,9.0,6.0,9.0,11.0,9.0,7.0,7.0,6.0,9.0,9.0,8.0,11.0,6.0,4.0,9.0,4.0,7.0,8.0,5.0,11.0,10.0,10.0,14.0,0
East Siang,251,4929.0,0.0,0.0,0.0,2.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Siang,250,10500.0,0.0,0.0,0.0,2.0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Subansiri,249,8499.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorhat,312,2505.0,0.0,0.0,0.0,277.0,489.0,232.0,95.0,52.0,32.0,20.0,20.0,15.0,12.0,14.0,11.0,13.0,6.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakhimpur,307,3549.0,0.0,0.0,0.0,67.0,84.0,27.0,17.0,9.0,8.0,5.0,6.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Subansiri,255,3232.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papum Pare,248,4668.0,0.0,0.0,0.0,12.0,25.0,20.0,18.0,7.0,9.0,8.0,9.0,1.0,4.0,3.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurung Kumey,256,8964.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Kameng,247,7879.0,0.0,0.0,0.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Kameng,246,6770.0,0.0,0.0,0.0,11.0,20.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tawang,245,3064.0,0.0,0.0,0.0,4.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonitpur,306,4938.0,0.0,0.0,0.0,548.0,697.0,218.0,112.0,70.0,29.0,27.0,10.0,11.0,8.0,5.0,7.0,5.0,2.0,1.0,5.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golaghat,313,2254.0,0.0,0.0,0.0,685.0,738.0,222.0,117.0,49.0,37.0,23.0,12.0,15.0,10.0,14.0,10.0,4.0,13.0,8.0,10.0,7.0,9.0,4.0,5.0,8.0,3.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,7.0,3.0,2.0,5.0,2.0,1.0,5.0,3.0,1.0,3.0,1.0,3.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0
Karbi Anglong,314,12629.0,0.0,0.0,1.0,364.0,214.0,46.0,23.0,19.0,15.0,13.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaon,305,2772.0,0.0,0.0,0.0,838.0,891.0,304.0,102.0,32.0,28.0,17.0,14.0,10.0,10.0,10.0,0.0,5.0,5.0,1.0,7.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marigaon,304,1565.0,0.0,0.0,0.0,203.0,109.0,38.0,16.0,13.0,11.0,6.0,8.0,1.0,3.0,5.0,1.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaintia Hills,299,4505.0,0.0,0.0,0.0,81.0,58.0,37.0,18.0,11.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dima Hasao,315,5974.0,0.0,0.0,0.0,28.0,19.0,12.0,6.0,5.0,3.0,1.0,1.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimapur,265,618.0,0.0,0.0,0.0,112.0,48.0,14.0,10.0,7.0,10.0,12.0,7.0,7.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peren,271,2134.0,0.0,0.0,0.0,18.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kohima,270,1688.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wokha,264,1953.0,0.0,0.0,0.0,12.0,9.0,5.0,3.0,1.0,0.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phek,266,2611.0,0.0,0.0,0.0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zunheboto,263,1580.0,0.0,0.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mokokchung,262,1875.0,0.0,0.0,0.0,1.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longleng,268,705.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiphire,269,1474.0,0.0,0.0,0.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,272,4137.0,0.0,0.0,0.0,64.0,56.0,11.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukhrul,279,5643.0,0.0,0.0,0.0,11.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamenglong,273,5353.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imphal East,278,217.0,0.0,0.0,0.0,181.0,212.0,181.0,70.0,36.0,19.0,20.0,15.0,12.0,3.0,12.0,5.0,8.0,8.0,6.0,1.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,1.0,0.0,6.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0,0,0,0
Chandel,280,3978.0,0.0,0.0,0.0,24.0,11.0,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,276,348.0,0.0,0.0,0.0,237.0,148.0,88.0,36.0,21.0,13.0,11.0,9.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishnupur,275,224.0,0.0,0.0,0.0,193.0,88.0,43.0,28.0,15.0,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,274,5677.0,0.0,0.0,0.0,55.0,27.0,13.0,8.0,5.0,3.0,3.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champhai,284,4144.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aizawl,283,4366.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0
