DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	censuscode	mean
Sirohi	19	8	Rajasthan	117	3.7256158611
Udaipur	32	8	Rajasthan	130	3.4505802498
Banas Kantha	2	24	Gujarat	469	4.618389885
Kachchh	1	24	Gujarat	468	2.2108462581
Jamnagar	10	24	Gujarat	477	7.152692296
Porbandar	11	24	Gujarat	478	6.1926299346
Rajkot	9	24	Gujarat	476	7.7983600291
Junagadh	12	24	Gujarat	479	6.7674205204
Amreli	13	24	Gujarat	480	6.0336107944
Surendranagar	8	24	Gujarat	475	5.0321775924
Bhavnagar	14	24	Gujarat	481	6.7617248079
Ahmadabad	7	24	Gujarat	474	9.2886290774
Patan	3	24	Gujarat	470	3.7754619084
Mahesana	4	24	Gujarat	471	8.9515950966
Gandhinagar	6	24	Gujarat	473	17.0264792964
Sabar Kantha	5	24	Gujarat	472	4.9494876332
Dungarpur	26	8	Rajasthan	124	3.08273381
Kheda	16	24	Gujarat	483	7.8722788536
Panch Mahals	17	24	Gujarat	484	5.1910294007
Vadodara	19	24	Gujarat	486	8.2636831208
Anand	15	24	Gujarat	482	9.5514348274
Bharuch	21	24	Gujarat	488	10.5795891654
Narmada	20	24	Gujarat	487	3.7436857361
Nandurbar	1	27	Maharashtra	497	3.9810954638
Alirajpur	48	23	Madhya Pradesh	465	0.5903425864
Jhabua	47	23	Madhya Pradesh	464	1.4057113525
Dohad	18	24	Gujarat	485	4.3357533526
Banswara	27	8	Rajasthan	125	3.4615197874
Ratlam	17	23	Madhya Pradesh	434	1.8327527934
Dhar	21	23	Madhya Pradesh	438	3.3049658945
Barwani	24	23	Madhya Pradesh	441	1.6511043149
West Nimar	23	23	Madhya Pradesh	440	2.1349320845
Indore	22	23	Madhya Pradesh	439	11.7324667636
East Nimar	49	23	Madhya Pradesh	466	1.5795135101
Dewas	20	23	Madhya Pradesh	437	2.4303496637
Ujjain	18	23	Madhya Pradesh	435	2.9483891221
Sehore	28	23	Madhya Pradesh	445	3.2873885368
Shajapur	19	23	Madhya Pradesh	436	2.1423360839
Rajgarh	25	23	Madhya Pradesh	442	1.203044863
Mandsaur	16	23	Madhya Pradesh	433	3.1539879037
Pratapgarh	33	8	Rajasthan	131	2.3955467058
Jhalawar	31	8	Rajasthan	129	4.7630049289
Kota	29	8	Rajasthan	127	7.9519848178
Baran	30	8	Rajasthan	128	4.5297986747
Chittaurgarh	28	8	Rajasthan	126	5.4640793399
Neemuch	15	23	Madhya Pradesh	432	2.8417319482
Rajsamand	25	8	Rajasthan	123	6.1219631085
Bhilwara	24	8	Rajasthan	122	3.335503849
Ajmer	21	8	Rajasthan	119	5.6882977613
Jaipur	12	8	Rajasthan	110	12.0109285273
Tonk	22	8	Rajasthan	120	2.3586109069
Dausa	11	8	Rajasthan	109	9.6157346004
Sawai Madhopur	10	8	Rajasthan	108	4.1799956421
Bundi	23	8	Rajasthan	121	3.6122676372
Sheopur	1	23	Madhya Pradesh	418	0.4509820247
Shivpuri	6	23	Madhya Pradesh	423	0.6532445608
Guna	41	23	Madhya Pradesh	458	1.6829424179
Gwalior	4	23	Madhya Pradesh	421	3.6893547767
Morena	2	23	Madhya Pradesh	419	1.6533958227
Dhaulpur	8	8	Rajasthan	106	2.6633550109
Karauli	9	8	Rajasthan	107	4.1861820024
Bharatpur	7	8	Rajasthan	105	7.2687816624
Mathura	14	9	Uttar Pradesh	145	9.5081097648
Mahamaya Nagar	13	9	Uttar Pradesh	144	10.62891118
Agra	15	9	Uttar Pradesh	146	11.7763115227
Bhind	3	23	Madhya Pradesh	420	1.6163359499
Firozabad	16	9	Uttar Pradesh	147	6.9439815512
Etah	70	9	Uttar Pradesh	201	2.8576492143
Kansiram Nagar	71	9	Uttar Pradesh	202	1.0419136306
Shahjahanpur	21	9	Uttar Pradesh	152	2.8084434149
Farrukhabad	28	9	Uttar Pradesh	159	2.5961385353
Mainpuri	17	9	Uttar Pradesh	148	2.51952087
Etawah	30	9	Uttar Pradesh	161	5.4500855109
Kannauj	29	9	Uttar Pradesh	160	1.9742298108
Auraiya	31	9	Uttar Pradesh	162	4.1344695467
Jalaun	34	9	Uttar Pradesh	165	2.2062758771
Datia	5	23	Madhya Pradesh	422	2.3491594577
Tikamgarh	7	23	Madhya Pradesh	424	1.4505710851
Jhansi	35	9	Uttar Pradesh	166	3.850428095
Lalitpur	36	9	Uttar Pradesh	167	0.9373306811
Hamirpur	37	9	Uttar Pradesh	168	1.5277790408
Mahoba	38	9	Uttar Pradesh	169	2.13843544
Chhatarpur	8	23	Madhya Pradesh	425	1.4518779458
Sagar	10	23	Madhya Pradesh	427	3.0504960323
Damoh	11	23	Madhya Pradesh	428	1.3773932784
Raisen	29	23	Madhya Pradesh	446	1.8684008236
Vidisha	26	23	Madhya Pradesh	443	1.1799056374
Ashoknagar	42	23	Madhya Pradesh	459	0.9353340788
Bhopal	27	23	Madhya Pradesh	444	10.3094270849
Harda	31	23	Madhya Pradesh	448	3.1570914837
Hoshangabad	32	23	Madhya Pradesh	449	3.1336475146
Betul	30	23	Madhya Pradesh	447	1.148896727
Chhindwara	38	23	Madhya Pradesh	455	1.8305399617
Narsimhapur	35	23	Madhya Pradesh	452	3.7337482807
Jabalpur	34	23	Madhya Pradesh	451	6.2044517944
Seoni	39	23	Madhya Pradesh	456	1.3404777837
Mandla	37	23	Madhya Pradesh	454	0.8315180841
Balaghat	40	23	Madhya Pradesh	457	1.3238452526
Dindori	36	23	Madhya Pradesh	453	0.1087441111
Katni	33	23	Madhya Pradesh	450	3.7349102268
Umaria	14	23	Madhya Pradesh	431	0.9588945567
Panna	9	23	Madhya Pradesh	426	0.4263913503
Satna	12	23	Madhya Pradesh	429	3.2988596284
Banda	39	9	Uttar Pradesh	170	1.4216982648
Chitrakoot	40	9	Uttar Pradesh	171	1.233944936
Shahdol	43	23	Madhya Pradesh	460	1.2456283101
Sidhi	45	23	Madhya Pradesh	462	0.7418105138
Rewa	13	23	Madhya Pradesh	430	2.7940461714
Kaushambi	43	9	Uttar Pradesh	174	4.8416732453
Allahabad	44	9	Uttar Pradesh	175	7.5285440139
Sant Ravi Das Nagar(bhadohi)	67	9	Uttar Pradesh	198	7.2226176521
Mirzapur	68	9	Uttar Pradesh	199	2.184785052
Singrauli	46	23	Madhya Pradesh	463	3.7435748305
Koriya	1	22	Chhattisgarh	400	1.3686051915
Anuppur	44	23	Madhya Pradesh	461	2.3393962178
Kabeerdham	8	22	Chhattisgarh	407	3.5247476267
Bilaspur	7	22	Chhattisgarh	406	5.9688444387
Korba	5	22	Chhattisgarh	404	4.4951394819
Surguja	2	22	Chhattisgarh	401	1.0131075814
Sonbhadra	69	9	Uttar Pradesh	200	2.9921372148
Garhwa	1	20	Jharkhand	346	0.3032995246
Jashpur	3	22	Chhattisgarh	402	0.5330136363
Raigarh	4	22	Chhattisgarh	403	5.3791346879
Gumla	21	20	Jharkhand	366	0.1995917972
Simdega	22	20	Jharkhand	367	0.1305787414
Sundargarh	5	21	Odisha	374	2.9696065513
Ranchi	19	20	Jharkhand	364	4.7148780974
Lohardaga	11	20	Jharkhand	356	0.9597620469
Latehar	14	20	Jharkhand	359	0.4778689762
Chatra	2	20	Jharkhand	347	0.3585061786
Palamu	13	20	Jharkhand	358	0.9467758004
Rohtas	32	10	Bihar	234	1.9459256128
Kaimur (bhabua)	31	10	Bihar	233	1.1544048101
Aurangabad	33	10	Bihar	235	1.0151782996
Gaya	34	10	Bihar	236	1.5189574057
Bhojpur	29	10	Bihar	231	1.0773645496
Arwal	38	10	Bihar	240	0.3019316602
Jehanabad	37	10	Bihar	239	1.2891243561
Patna	28	10	Bihar	230	7.7866028944
Buxar	30	10	Bihar	232	1.3291063467
Ghazipur	64	9	Uttar Pradesh	195	3.046520713
Chandauli	65	9	Uttar Pradesh	196	4.8012001009
Varanasi	66	9	Uttar Pradesh	197	11.312056682
Jaunpur	63	9	Uttar Pradesh	194	2.6348082662
Pratapgarh	42	9	Uttar Pradesh	173	3.5034440069
Azamgarh	60	9	Uttar Pradesh	191	2.4599697805
Ambedkar Nagar	47	9	Uttar Pradesh	178	4.0037965467
Sultanpur	48	9	Uttar Pradesh	179	2.636953203
Faizabad	46	9	Uttar Pradesh	177	4.10320094
Basti	54	9	Uttar Pradesh	185	4.8797250716
Gonda	52	9	Uttar Pradesh	183	3.1872751138
Sant Kabir Nagar	55	9	Uttar Pradesh	186	3.80897048
Gorakhpur	57	9	Uttar Pradesh	188	5.6693331308
Maharajganj	56	9	Uttar Pradesh	187	1.4039956967
Kushinagar	58	9	Uttar Pradesh	189	1.9289642306
Deoria	59	9	Uttar Pradesh	190	2.9254609267
Mau	61	9	Uttar Pradesh	192	7.0416013804
Ballia	62	9	Uttar Pradesh	193	1.9161522411
Siwan	16	10	Bihar	218	1.148798456
Saran (chhapra)	17	10	Bihar	219	2.2181929299
Muzaffarpur	14	10	Bihar	216	3.1130463885
Gopalganj	15	10	Bihar	217	2.1053813314
Purba Champaran	2	10	Bihar	204	1.0636333153
Pashchim Champaran	1	10	Bihar	203	0.7168498315
Siddharth Nagar	53	9	Uttar Pradesh	184	1.0915581976
Balrampur	51	9	Uttar Pradesh	182	1.3760999969
Shrawasti	50	9	Uttar Pradesh	181	1.0111988966
Bahraich	49	9	Uttar Pradesh	180	1.4226027798
Kheri	22	9	Uttar Pradesh	153	2.8501755656
Sitapur	23	9	Uttar Pradesh	154	2.4440683072
Bara Banki	45	9	Uttar Pradesh	176	3.4330157662
Lucknow	26	9	Uttar Pradesh	157	18.1540186218
Hardoi	24	9	Uttar Pradesh	155	1.9706334252
Rae Bareli	27	9	Uttar Pradesh	158	2.2590919833
Fatehpur	41	9	Uttar Pradesh	172	1.8813321165
Unnao	25	9	Uttar Pradesh	156	2.3719452523
Kanpur Nagar	33	9	Uttar Pradesh	164	8.3882662427
Kanpur Dehat	32	9	Uttar Pradesh	163	2.1016046838
Pilibhit	20	9	Uttar Pradesh	151	1.4124600607
Bageshwar	8	5	Uttarakhand	63	1.4274157424
Champawat	10	5	Uttarakhand	65	0.4174339486
Pithoragarh	7	5	Uttarakhand	62	0.4776389128
North	1	11	Sikkim	241	0.1676076274
East	4	11	Sikkim	244	4.2282497409
Jalpaiguri	2	19	West Bengal	328	4.8213215033
Koch Bihar	3	19	West Bengal	329	3.0443190433
Darjiling	1	19	West Bengal	327	5.5606128189
South	3	11	Sikkim	243	4.1438737763
West	2	11	Sikkim	242	1.3941806907
Kishanganj	8	10	Bihar	210	1.6525855915
Uttar Dinajpur	4	19	West Bengal	330	5.4948172881
Purnia	9	10	Bihar	211	2.3107678519
Katihar	10	10	Bihar	212	1.1456227011
Araria	7	10	Bihar	209	1.4660018054
Madhubani	5	10	Bihar	207	1.2449062858
Sitamarhi	4	10	Bihar	206	0.766313139
Darbhanga	13	10	Bihar	215	1.8677433706
Sheohar	3	10	Bihar	205	0.7878585445
Vaishali	18	10	Bihar	220	3.4139748082
Samastipur	19	10	Bihar	221	1.557663862
Begusarai	20	10	Bihar	222	3.575323129
Khagaria	21	10	Bihar	223	0.6092861288
Saharsa	12	10	Bihar	214	1.4591242369
Supaul	6	10	Bihar	208	1.7411955981
Madhepura	11	10	Bihar	213	1.1159865566
Bhagalpur	22	10	Bihar	224	4.0624615922
Sahibganj	7	20	Jharkhand	352	0.9902719548
Godda	6	20	Jharkhand	351	1.3984859344
Banka	23	10	Bihar	225	0.2813288891
Pakur	8	20	Jharkhand	353	1.0172710379
Dumka	17	20	Jharkhand	362	0.7410833822
Jamtara	18	20	Jharkhand	363	1.7052139083
Deoghar	5	20	Jharkhand	350	3.3065948568
Jamui	36	10	Bihar	238	0.2141953944
Giridih	4	20	Jharkhand	349	1.2531977071
Munger	24	10	Bihar	226	1.6680716297
Lakhisarai	25	10	Bihar	227	0.8669105031
Sheikhpura	26	10	Bihar	228	1.3103993749
Nawada	35	10	Bihar	237	0.5258561143
Nalanda	27	10	Bihar	229	2.6743568564
Kodarma	3	20	Jharkhand	348	2.1869324078
Hazaribagh	15	20	Jharkhand	360	2.8273514662
Dhanbad	9	20	Jharkhand	354	15.2077846921
Bokaro	10	20	Jharkhand	355	8.9626021377
Puruliya	14	19	West Bengal	340	2.7996392301
Ramgarh	16	20	Jharkhand	361	11.8098277325
Khunti	20	20	Jharkhand	365	0.3243046249
Pashchimi Singhbhum	23	20	Jharkhand	368	1.5281096815
Saraikela-kharsawan	24	20	Jharkhand	369	5.831746455
Purbi Singhbhum	12	20	Jharkhand	357	5.3568018575
Pashchim Medinipur	18	19	West Bengal	344	4.3018615128
Bankura	13	19	West Bengal	339	4.9209351684
Barddhaman	9	19	West Bengal	335	11.6570792597
Birbhum	8	19	West Bengal	334	5.3535701405
Hugli	12	19	West Bengal	338	11.7134052055
Haora	15	19	West Bengal	341	18.0290717993
North 24 Parganas	11	19	West Bengal	337	8.8185717466
Nadia	10	19	West Bengal	336	8.2947563676
Kolkata	16	19	West Bengal	342	63
South 24 Parganas	17	19	West Bengal	343	8.4102963473
Murshidabad	7	19	West Bengal	333	5.5226855386
Maldah	6	19	West Bengal	332	3.7270199885
Dakshin Dinajpur	5	19	West Bengal	331	3.948123322
Purba Medinipur	19	19	West Bengal	345	7.3464645236
Ganjam	19	21	Odisha	388	2.752754387
Puri	18	21	Odisha	387	3.5412902916
Khordha	17	21	Odisha	386	8.1216415128
Nayagarh	16	21	Odisha	385	1.3853169751
Cuttack	12	21	Odisha	381	7.5182149799
Dhenkanal	14	21	Odisha	383	3.6946942673
Anugul	15	21	Odisha	384	4.8264563352
Jajapur	13	21	Odisha	382	8.9590818893
Kendujhar	6	21	Odisha	375	2.470900984
Kendrapara	10	21	Odisha	379	3.9561280081
Jagatsinghapur	11	21	Odisha	380	7.847481618
Baleshwar	8	21	Odisha	377	4.6841018083
Bhadrak	9	21	Odisha	378	3.1512138866
Mayurbhanj	7	21	Odisha	376	1.0461388659
Debagarh	4	21	Odisha	373	0.497684598
Sambalpur	3	21	Odisha	372	2.5616530532
Jharsuguda	2	21	Odisha	371	8.1319463176
Bargarh	1	21	Odisha	370	1.9173654319
Subarnapur	23	21	Odisha	392	1.2106478401
Balangir	24	21	Odisha	393	1.3565965579
Bauda	22	21	Odisha	391	0.2379702793
Kandhamal	21	21	Odisha	390	0.1423899967
Gajapati	20	21	Odisha	389	0.4151231094
Rayagada	27	21	Odisha	396	0.7726808023
Kalahandi	26	21	Odisha	395	1.0772012527
Nuapada	25	21	Odisha	394	0.5031855017
Raipur	11	22	Chhattisgarh	410	6.1047428337
Nabarangapur	28	21	Odisha	397	0.4169031593
Mahasamund	12	22	Chhattisgarh	411	3.6689396195
Janjgir-champa	6	22	Chhattisgarh	405	8.9718538352
Durg	10	22	Chhattisgarh	409	8.3605612294
Dhamtari	13	22	Chhattisgarh	412	3.1115434169
Rajnandgaon	9	22	Chhattisgarh	408	3.4088202321
Gondiya	11	27	Maharashtra	507	3.1400322134
Nagpur	9	27	Maharashtra	505	7.9559754341
Bhandara	10	27	Maharashtra	506	4.6010249425
Garhchiroli	12	27	Maharashtra	508	0.7890218956
Uttar Bastar Kanker	14	22	Chhattisgarh	413	0.8673962897
Chandrapur	13	27	Maharashtra	509	4.6545862783
Adilabad	1	28	Andhra Pradesh	532	4.7835681771
Narayanpur	16	22	Chhattisgarh	415	0.0688320101
Bijapur	18	22	Chhattisgarh	417	0.0574586327
Bastar	15	22	Chhattisgarh	414	0.7368022736
Koraput	29	21	Odisha	398	1.0445590958
Dakshin Bastar Dantewada	17	22	Chhattisgarh	416	0.5595099499
Malkangiri	30	21	Odisha	399	0.3441853561
Visakhapatnam	13	28	Andhra Pradesh	544	5.2405875404
East Godavari	14	28	Andhra Pradesh	545	6.901322956
Khammam	10	28	Andhra Pradesh	541	4.3357211592
Warangal	9	28	Andhra Pradesh	540	6.6607979111
Karimnagar	3	28	Andhra Pradesh	534	9.5571455667
Krishna	16	28	Andhra Pradesh	547	9.8449054438
Nalgonda	8	28	Andhra Pradesh	539	8.2997855937
Guntur	17	28	Andhra Pradesh	548	8.7748712786
Prakasam	18	28	Andhra Pradesh	549	4.474904797
West Godavari	15	28	Andhra Pradesh	546	8.1665057309
Yanam	1	34	Puducherry	634	29.9902260751
Vizianagaram	12	28	Andhra Pradesh	543	4.7793480018
Srikakulam	11	28	Andhra Pradesh	542	5.2356546289
Sri Potti Sriramulu Nellore	19	28	Andhra Pradesh	550	6.3110573976
