DISTRICT	DT_CEN_CD	ST_CEN_CD	ST_NM	avg_lights_x_pct	avg_vis	censuscode	cf_cvg	stable_lights
West Khasi Hills	4	17	Meghalaya	2.76E+09	1.86E+10	296	2.83E+11	7.12E+08
West Tripura	1	16	Tripura	1.01E+10	1.91E+10	289	1.66E+11	1.49E+10
Dhalai	3	16	Tripura	9.25E+08	7.83E+09	291	1.20E+11	1.76E+09
North Tripura	4	16	Tripura	2.03E+09	8.52E+09	292	1.09E+11	4.01E+09
South Tripura	2	16	Tripura	2.13E+09	1.25E+10	290	1.85E+11	5.25E+09
South Garo Hills	3	17	Meghalaya	7.92E+08	6.76E+09	295	1.16E+11	6.29E+08
East Garo Hills	2	17	Meghalaya	2.01E+09	1.12E+10	294	1.80E+11	1.79E+09
West Garo Hills	1	17	Meghalaya	1.66E+09	1.24E+10	293	2.04E+11	2.17E+09
Dhubri	2	18	Assam	1.01E+09	8.55E+09	301	1.47E+11	2.30E+09
Goalpara	3	18	Assam	1.27E+09	8.08E+09	302	1.27E+11	3.24E+09
Bongaigaon	20	18	Assam	7.82E+08	4.58E+09	319	6.81E+10	2.47E+09
Chirang	21	18	Assam	2.25E+09	7.72E+09	320	1.10E+11	3.14E+09
Kokrajhar	1	18	Assam	1.25E+09	1.16E+10	300	2.03E+11	3.16E+09
Barpeta	4	18	Assam	1.11E+09	8.84E+09	303	1.47E+11	2.90E+09
Baksa	25	18	Assam	3.75E+08	8.30E+09	324	1.48E+11	8.46E+08
Kamrup	22	18	Assam	4.08E+09	1.37E+10	321	1.74E+11	7.26E+09
Kamrup Metropolitan	23	18	Assam	7.74E+09	1.11E+10	322	6.74E+10	9.24E+09
Nalbari	24	18	Assam	5.32E+08	4.08E+09	323	6.38E+10	1.70E+09
Darrang	26	18	Assam	1.10E+09	6.53E+09	325	9.41E+10	2.07E+09
Udalguri	27	18	Assam	1.00E+09	8.43E+09	326	1.24E+11	3.22E+09
Leh (ladakh)	3	1	Jammu & Kashmir	2.71E+09	2.56E+11	3	5.01E+12	6.90E+08
Data Not Available	99	99	Jammu & Kashmir	2.20E+10	3.32E+11	0	4.81E+12	4.21E+10
Punch	5	1	Jammu & Kashmir	5.59E+08	8.97E+09	5	1.32E+11	2.49E+09
Kupwara	1	1	Jammu & Kashmir	6.18E+07	6.51E+09	1	1.03E+11	6.72E+07
Baramula	8	1	Jammu & Kashmir	1.17E+09	7.59E+09	8	9.63E+10	2.26E+09
Bandipore	9	1	Jammu & Kashmir	8.26E+07	8.04E+09	9	1.18E+11	5.74E+07
Ganderbal	11	1	Jammu & Kashmir	1.98E+07	3.80E+09	11	5.44E+10	0
Srinagar	10	1	Jammu & Kashmir	2.43E+09	6.03E+09	10	5.66E+10	3.43E+09
Badgam	2	1	Jammu & Kashmir	1.34E+09	5.80E+09	2	6.85E+10	2.13E+09
Pulwama	12	1	Jammu & Kashmir	1.39E+08	2.45E+09	12	3.38E+10	7.86E+08
Shupiyan	13	1	Jammu & Kashmir	1.30E+07	1.88E+09	13	2.94E+10	2.07E+07
Rajouri	6	1	Jammu & Kashmir	5.49E+08	7.18E+09	6	1.08E+11	1.63E+09
Kulgam	15	1	Jammu & Kashmir	3.95E+07	4.49E+09	15	6.48E+10	6.28E+07
Anantnag	14	1	Jammu & Kashmir	1.91E+08	1.07E+10	14	1.72E+11	4.42E+08
Kargil	4	1	Jammu & Kashmir	3.58E+08	5.12E+10	4	8.90E+11	1.56E+07
Kishtwar	18	1	Jammu & Kashmir	1.23E+09	3.09E+10	18	4.76E+11	1.27E+09
Lahul & Spiti	3	2	Himachal Pradesh	4.09E+08	4.88E+10	25	8.42E+11	7.53E+07
Chamba	1	2	Himachal Pradesh	1.67E+09	2.37E+10	23	3.53E+11	2.97E+09
Kangra	2	2	Himachal Pradesh	5.65E+09	2.81E+10	24	3.13E+11	1.57E+10
Kullu	4	2	Himachal Pradesh	2.41E+09	2.16E+10	26	3.32E+11	3.75E+09
Kinnaur	12	2	Himachal Pradesh	6.75E+08	2.23E+10	34	3.84E+11	8.77E+08
Mandi	5	2	Himachal Pradesh	3.21E+09	1.80E+10	27	2.38E+11	7.41E+09
Hamirpur	6	2	Himachal Pradesh	1.59E+09	6.70E+09	28	6.44E+10	6.15E+09
Solan	9	2	Himachal Pradesh	6.30E+09	1.42E+10	31	1.15E+11	1.31E+10
Bilaspur	8	2	Himachal Pradesh	2.57E+09	7.74E+09	30	6.86E+10	7.37E+09
Una	7	2	Himachal Pradesh	3.39E+09	9.84E+09	29	8.49E+10	8.20E+09
Rupnagar	17	3	Punjab	8.71E+09	1.38E+10	51	8.11E+10	1.35E+10
Shahid Bhagat Singh Nagar	5	3	Punjab	6.78E+09	1.20E+10	39	7.22E+10	1.19E+10
Shimla	11	2	Himachal Pradesh	3.69E+09	2.21E+10	33	3.25E+11	7.55E+09
Sirmaur	10	2	Himachal Pradesh	2.39E+09	1.28E+10	32	1.79E+11	5.24E+09
Uttarkashi	1	5	Uttarakhand	1.41E+09	2.75E+10	56	4.85E+11	1.14E+09
Chamoli	2	5	Uttarakhand	1.08E+09	2.72E+10	57	4.57E+11	1.66E+09
Tehri Garhwal	4	5	Uttarakhand	3.93E+09	1.73E+10	59	2.45E+11	7.79E+09
Rudraprayag	3	5	Uttarakhand	2.15E+08	6.30E+09	58	1.11E+11	7.45E+08
Dehradun	5	5	Uttarakhand	1.32E+10	2.28E+10	60	2.07E+11	1.67E+10
Garhwal	6	5	Uttarakhand	3.48E+09	2.21E+10	61	3.57E+11	8.08E+09
Saharanpur	1	9	Uttar Pradesh	7.22E+09	2.15E+10	132	2.50E+11	1.69E+10
Hardwar	13	5	Uttarakhand	6.96E+09	1.52E+10	68	1.63E+11	1.02E+10
Muzaffarnagar	2	9	Uttar Pradesh	8.60E+09	2.41E+10	133	2.65E+11	2.21E+10
Bijnor	3	9	Uttar Pradesh	4.82E+09	2.09E+10	134	2.87E+11	1.32E+10
Almora	9	5	Uttarakhand	1.34E+09	1.22E+10	64	1.88E+11	3.78E+09
Nainital	11	5	Uttarakhand	5.79E+09	1.94E+10	66	2.45E+11	9.27E+09
Udham Singh Nagar	12	5	Uttarakhand	1.57E+10	2.41E+10	67	1.63E+11	2.24E+10
Rampur	5	9	Uttar Pradesh	4.40E+09	1.36E+10	136	1.63E+11	9.49E+09
Moradabad	4	9	Uttar Pradesh	1.02E+10	2.32E+10	135	2.36E+11	1.87E+10
Bareilly	19	9	Uttar Pradesh	9.09E+09	2.22E+10	150	2.39E+11	1.56E+10
Budaun	18	9	Uttar Pradesh	3.05E+09	2.01E+10	149	3.33E+11	6.46E+09
Jyotiba Phule Nagar	6	9	Uttar Pradesh	2.56E+09	1.11E+10	137	1.48E+11	8.18E+09
Bulandshahr	11	9	Uttar Pradesh	6.78E+09	2.04E+10	142	2.29E+11	1.77E+10
Ghaziabad	9	9	Uttar Pradesh	2.00E+10	2.63E+10	140	1.26E+11	2.63E+10
Meerut	7	9	Uttar Pradesh	1.47E+10	2.39E+10	138	1.68E+11	2.24E+10
Baghpat	8	9	Uttar Pradesh	2.31E+09	7.60E+09	139	8.32E+10	6.84E+09
Sonipat	8	6	Haryana	1.91E+10	2.60E+10	76	1.31E+11	2.60E+10
North West	1	7	NCT of Delhi	2.00E+10	2.01E+10	90	2.71E+10	2.01E+10
Gautam Buddha Nagar	10	9	Uttar Pradesh	1.83E+10	2.24E+10	141	9.05E+10	2.24E+10
Aligarh	12	9	Uttar Pradesh	7.07E+09	2.12E+10	143	2.42E+11	1.64E+10
Faridabad	20	6	Haryana	1.81E+10	1.96E+10	88	5.32E+10	1.96E+10
Palwal	21	6	Haryana	7.56E+09	1.26E+10	89	8.26E+10	1.26E+10
Mewat	19	6	Haryana	4.15E+09	1.03E+10	87	9.01E+10	1.01E+10
Gurgaon	18	6	Haryana	2.30E+10	2.53E+10	86	7.58E+10	2.53E+10
South	9	7	NCT of Delhi	1.36E+10	1.36E+10	98	1.60E+10	1.36E+10
New Delhi	5	7	NCT of Delhi	2.42E+09	2.42E+09	94	2.42E+09	2.42E+09
South West	8	7	NCT of Delhi	2.10E+10	2.11E+10	97	2.57E+10	2.11E+10
Central	6	7	NCT of Delhi	9.48E+08	9.48E+08	95	9.57E+08	9.48E+08
East	4	7	NCT of Delhi	4.11E+09	4.11E+09	93	4.11E+09	4.11E+09
North East	3	7	NCT of Delhi	3.52E+09	3.52E+09	92	3.94E+09	3.52E+09
North	2	7	NCT of Delhi	4.06E+09	4.06E+09	91	4.36E+09	4.06E+09
West	7	7	NCT of Delhi	7.20E+09	7.20E+09	96	7.27E+09	7.20E+09
Jhajjar	15	6	Haryana	8.92E+09	1.74E+10	83	1.18E+11	1.74E+10
Alwar	6	8	Rajasthan	1.54E+10	4.99E+10	104	5.15E+11	4.52E+10
Rewari	17	6	Haryana	1.17E+10	1.73E+10	85	9.34E+10	1.73E+10
Rohtak	14	6	Haryana	9.16E+09	1.65E+10	82	1.04E+11	1.65E+10
Bhiwani	13	6	Haryana	1.36E+10	3.50E+10	81	2.87E+11	3.49E+10
Jind	9	6	Haryana	1.30E+10	2.43E+10	77	1.62E+11	2.43E+10
Panipat	7	6	Haryana	1.70E+10	1.97E+10	75	7.64E+10	1.97E+10
Karnal	6	6	Haryana	2.91E+10	3.56E+10	74	1.63E+11	3.56E+10
Kaithal	5	6	Haryana	1.55E+10	2.38E+10	73	1.33E+11	2.38E+10
Kurukshetra	4	6	Haryana	2.06E+10	2.35E+10	72	9.64E+10	2.35E+10
Patiala	14	3	Punjab	3.30E+10	4.31E+10	48	2.01E+11	4.31E+10
Ambala	2	6	Haryana	1.84E+10	2.18E+10	70	9.55E+10	2.18E+10
Yamunanagar	3	6	Haryana	1.51E+10	2.00E+10	71	1.13E+11	1.96E+10
Panchkula	1	6	Haryana	6.49E+09	9.20E+09	69	5.25E+10	8.35E+09
Sahibzada Ajit Singh Nagar	18	3	Punjab	1.58E+10	1.80E+10	52	6.94E+10	1.79E+10
Chandigarh	1	4	Chandigarh	6.92E+09	6.92E+09	55	7.35E+09	6.92E+09
Fatehgarh Sahib	6	3	Punjab	9.90E+09	1.36E+10	40	6.96E+10	1.36E+10
Ludhiana	7	3	Punjab	4.69E+10	5.62E+10	41	2.14E+11	5.62E+10
Sangrur	19	3	Punjab	2.42E+10	3.83E+10	53	2.21E+11	3.83E+10
Barnala	20	3	Punjab	8.35E+09	1.45E+10	54	9.45E+10	1.45E+10
Moga	8	3	Punjab	1.95E+10	2.71E+10	42	1.44E+11	2.71E+10
Bathinda	12	3	Punjab	1.84E+10	3.25E+10	46	2.22E+11	3.25E+10
Faridkot	11	3	Punjab	9.55E+09	1.55E+10	45	9.36E+10	1.55E+10
Mansa	13	3	Punjab	5.88E+09	1.65E+10	47	1.43E+11	1.65E+10
Fatehabad	10	6	Haryana	1.34E+10	2.34E+10	78	1.52E+11	2.34E+10
Sirsa	11	6	Haryana	1.33E+10	3.16E+10	79	2.94E+11	3.13E+10
Hisar	12	6	Haryana	1.78E+10	3.61E+10	80	2.59E+11	3.61E+10
Mahendragarh	16	6	Haryana	7.17E+09	1.61E+10	84	1.20E+11	1.61E+10
Jhunjhunun	5	8	Rajasthan	1.41E+10	4.02E+10	103	3.78E+11	3.96E+10
Churu	4	8	Rajasthan	9.56E+09	6.34E+10	102	9.15E+11	4.07E+10
Sikar	13	8	Rajasthan	1.57E+10	4.87E+10	111	4.99E+11	4.70E+10
Hanumangarh	2	8	Rajasthan	1.33E+10	5.31E+10	100	6.78E+11	4.18E+10
